# hindsight — drug-event pairs over one FAERS partition
# partition: 2025q1/0001-of-0028
# export_date: 2026-08-10
# min_count: 3
# crowding_cut: 27 distinct drugs (the 0.99 quantile of this partition)
# Read with comment='#'. Counts are distinct reports.
"drug","event","a","b","c","d","prr","chi2","signal","crowding","crowded"
"MYRBETRIQ","Onychomadesis","7","24","2","11967","1351.339","1810.258","1","78.0","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Finger deformity","5","4","5","11986","1332.333","2695.273","1","84.0","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Adverse reaction","4","5","4","11987","1332.333","2037.558","1","80.5","1"
"HAIR KERATIN AMINO ACIDS GOLD COMPLEX","Normal newborn","4","5","4","11987","1332.333","2037.558","1","84.0","1"
"DESCOVY","Multiple fractures","6","12","3","11979","1331.333","2234.78","1","3.0","0"
"MINOCYCLINE","Onychomadesis","6","12","3","11979","1331.333","2234.78","1","81.0","1"
"TRUVADA","Bone loss","7","14","3","11976","1331.0","2407.519","1","2.0","0"
"DOMPERIDONE MALEATE","Nail disorder","8","16","3","11973","1330.667","2549.271","1","75.0","1"
"FILGRASTIM","Aortitis","4","33","1","11962","1293.297","790.375","1","10.0","0"
"SULFASALAZINE","Onychomycosis","9","74","1","11916","1292.205","1035.668","1","78.0","1"
"MINOCIN","Onychomycosis","3","1","7","11989","1285.286","1872.187","1","91.0","1"
"MYOCHRYSINE","Finger deformity","6","8","4","11982","1284.214","2587.04","1","80.5","1"
"NICOTINAMIDE","Finger deformity","6","8","4","11982","1284.214","2587.04","1","80.5","1"
"PHTHALYLSULFATHIAZOLE","Helicobacter infection","18","10","6","11966","1282.714","5457.429","1","71.5","1"
"PHTHALYLSULFATHIAZOLE","Pemphigus","18","10","6","11966","1282.714","5457.429","1","71.5","1"
"PHTHALYLSULFATHIAZOLE","Swollen joint count increased","6","22","2","11970","1282.714","1614.395","1","71.5","1"
"FLUMETHASONE PIVALATE","Onychomycosis","7","15","3","11975","1270.394","2297.687","1","84.0","1"
"GOLD","Onychomadesis","5","7","4","11984","1248.75","2244.936","1","84.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Lupus vulgaris","5","19","2","11974","1247.5","1441.164","1","56.0","1"
"DESOXIMETASONE","Muscle injury","14","20","4","11962","1231.794","3562.001","1","71.5","1"
"CHLORHEXIDINE GLUCONATE","Onychomycosis","7","16","3","11974","1215.058","2197.406","1","84.0","1"
"FERINJECT","Hypophosphataemia","3","3","5","11989","1199.4","1559.323","1","2.0","0"
"ALENDRONATE SODIUM\CHOLECALCIFEROL","Onychomadesis","4","4","5","11987","1199.2","2037.558","1","77.5","1"
"FLUMETHASONE","Onychomadesis","4","4","5","11987","1199.2","2037.558","1","86.5","1"
"SIRUKUMAB","Finger deformity","5","5","5","11985","1199.0","2425.048","1","84.0","1"
"SIRUKUMAB","Adverse reaction","4","6","4","11986","1199.0","1833.256","1","78.5","1"
"PYRIDOXINE","Vaginal discharge","3","7","3","11987","1199.0","1246.667","1","92.0","1"
"BISACODYL","Female genital tract fistula","3","12","2","11983","1198.5","996.667","1","92.0","1"
"BISACODYL","Radiculopathy","3","12","2","11983","1198.5","996.667","1","92.0","1"
"CORTISONE ACETATE","Adverse reaction","6","24","2","11968","1197.0","1506.287","1","75.0","1"
"CORTISONE ACETATE","Swollen joint count increased","6","24","2","11968","1197.0","1506.287","1","71.5","1"
"COSENTYX","Onychomycosis","9","82","1","11908","1177.813","943.76","1","78.0","1"
"BOTULINUM TOXIN TYPE A","Adverse reaction","5","12","3","11980","1174.804","1781.486","1","73.0","1"
"AIMOVIG","Blepharospasm","10","24","3","11963","1173.137","2440.815","1","75.0","1"
"DESOXIMETASONE","Blepharospasm","10","24","3","11963","1173.137","2440.815","1","75.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Finger deformity","7","17","3","11973","1164.333","2105.482","1","77.0","1"
"SULFASALAZINE","Muscle injury","16","67","2","11915","1148.627","1914.941","1","71.5","1"
"METHYLPHENIDATE HYDROCHLORIDE","Reversible cerebral vasoconstriction syndrome","4","3","6","11987","1142.19","2095.974","1","1.0","0"
"TRUVADA","Multiple fractures","6","15","3","11976","1140.857","1914.434","1","2.5","0"
"NAPROXEN SODIUM","Nail disorder","8","20","3","11969","1140.19","2183.676","1","75.0","1"
"PHTHALYLSULFATHIAZOLE","Nail disorder","8","20","3","11969","1140.19","2183.676","1","75.0","1"
"LAMICTAL","Onychomycosis","8","34","2","11956","1138.857","1599.103","1","81.0","1"
"ABILIFY","Alcoholism","3","13","2","11982","1123.5","934.141","1","3.0","0"
"ABILIFY","Coordination abnormal","3","13","2","11982","1123.5","934.141","1","3.0","0"
"ABILIFY","Emotional poverty","3","13","2","11982","1123.5","934.141","1","3.0","0"
"ABILIFY","Nicotine dependence","3","13","2","11982","1123.5","934.141","1","3.0","0"
"PERIOGARD","Adjustment disorder with depressed mood","3","13","2","11982","1123.5","934.141","1","70.0","1"
"PERIOGARD","X-ray abnormal","3","13","2","11982","1123.5","934.141","1","67.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Grip strength decreased","9","15","4","11972","1122.75","2770.408","1","73.0","1"
"CIMZIA","Onychomycosis","8","35","2","11955","1112.279","1561.696","1","77.5","1"
"GOLD SODIUM THIOMALATE","Breast cancer stage III","10","8","6","11976","1109.444","3752.064","1","73.0","1"
"GOLD SODIUM THIOMALATE","Facet joint syndrome","10","8","6","11976","1109.444","3752.064","1","73.0","1"
"HYDROXYCHLOROQUINE","Onychomycosis","9","88","1","11902","1104.402","884.779","1","78.0","1"
"CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE","Facet joint syndrome","11","13","5","11971","1097.8","3435.788","1","70.0","1"
"DOMPERIDONE MALEATE","Breast cancer stage III","11","13","5","11971","1097.8","3435.788","1","70.0","1"
"MINOCYCLINE HYDROCHLORIDE","Onychomycosis","5","6","5","11984","1089.909","2203.955","1","77.0","1"
"MINOCYCLINE HYDROCHLORIDE","Normal newborn","4","7","4","11985","1089.909","1666.099","1","84.0","1"
